Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bénie Adama Traore,FW,Sheffield Utd,8,0,0,0,0,0,0,0,0
Tyler Adams,MF,Bournemouth,3,0,0,0,0,0,0,0,0
Elijah Adebayo,FW,Luton Town,27,10,0,10,10,0,0,1,0
Simon Adingra,FW,Brighton,31,6,1,7,6,0,0,3,0
Brandon Aguilera,FW,Nott'ham Forest,1,0,0,0,0,0,0,0,0
Naouirou Ahamada,MF,Crystal Palace,20,0,0,0,0,0,0,4,1
Rayan Aït-Nouri,MF,Wolves,33,2,1,3,2,0,0,7,0
Manuel Akanji,MF,Manchester City,30,2,0,2,2,0,0,4,1
Thiago Alcántara,MF,Liverpool,1,0,0,0,0,0,0,0,0
Miguel Almirón,FW,Newcastle Utd,33,3,1,4,3,0,0,2,0
Edson Álvarez,MF,West Ham,31,1,1,2,1,0,0,11,0
Julián Álvarez,MF,Manchester City,36,11,8,19,9,2,2,2,0
Zeki Amdouni,FW,Burnley,34,5,1,6,4,1,1,2,0
Sofyan Amrabat,MF,Manchester Utd,21,0,0,0,0,0,0,6,0
Elliot Anderson,MF,Newcastle Utd,21,0,2,2,0,0,0,3,0
Jaidon Anthony,FW,Bournemouth,3,0,0,0,0,0,0,1,0
Michail Antonio,FW,West Ham,26,6,2,8,6,0,0,6,0
Antony,FW,Manchester Utd,29,1,1,2,1,0,0,5,0
Oliver Arblaster,MF,Sheffield Utd,12,0,0,0,0,0,0,2,0
Cameron Archer,FW,Sheffield Utd,29,4,1,5,4,0,0,1,0
Cameron Archer,MF,Aston Villa,1,0,0,0,0,0,0,1,0
Serge Aurier,MF,Nott'ham Forest,12,0,2,2,0,0,0,2,0
Taiwo Awoniyi,FW,Nott'ham Forest,20,6,3,9,6,0,0,2,0
Jordan Ayew,FW,Crystal Palace,35,4,7,11,4,0,0,9,1
Leon Bailey,MF,Aston Villa,35,10,9,19,10,0,0,5,0
Stefan Bajcetic,MF,Liverpool,1,0,0,0,0,0,0,0,0
Carlos Baleba,MF,Brighton,27,0,0,0,0,0,0,7,0
Fodé Ballo-Touré,MF,Fulham,6,0,0,0,0,0,0,1,0
Shandon Baptiste,MF,Brentford,10,1,1,2,1,0,0,1,0
Valentín Barco,FW,Brighton,6,0,0,0,0,0,0,1,0
Ross Barkley,MF,Luton Town,32,5,4,9,5,0,0,6,0
Harvey Barnes,FW,Newcastle Utd,21,5,3,8,5,0,0,2,0
Chris Basham,MF,Sheffield Utd,8,0,0,0,0,0,0,1,0
Jean-Ricner Bellegarde,MF,Wolves,22,2,1,3,2,0,0,0,1
Anis Ben Slimane,MF,Sheffield Utd,15,0,0,0,0,0,0,2,0
Saïd Benrahma,FW,West Ham,13,0,1,1,0,0,1,1,0
Rodrigo Bentancur,MF,Tottenham,23,1,1,2,1,0,0,7,0
Jóhann Berg Guðmundsson,MF,Burnley,26,1,3,4,1,0,0,2,0
Sander Berge,MF,Burnley,37,1,2,3,1,0,0,10,1
Luke Berry,MF,Luton Town,17,2,1,3,2,0,0,1,0
Beto,FW,Everton,30,3,0,3,3,0,1,2,0
Philip Billing,MF,Bournemouth,29,2,2,4,2,0,0,3,1
Yves Bissouma,MF,Tottenham,28,0,0,0,0,0,0,10,2
Benicio Boaitey,FW,Brighton,5,0,0,0,0,0,0,1,0
Oscar Bobb,FW,Manchester City,14,1,1,2,1,0,0,0,0
Jarrod Bowen,FW,West Ham,34,16,6,22,16,0,0,2,0
Ben Brereton,FW,Sheffield Utd,14,6,1,7,5,1,1,3,0
Rhian Brewster,FW,Sheffield Utd,13,0,0,0,0,0,0,0,1
Armando Broja,FW,Chelsea,13,1,0,1,1,0,0,0,0
Armando Broja,FW,Fulham,8,0,1,1,0,0,0,0,0
Andre Brooks,MF,Sheffield Utd,20,0,0,0,0,0,0,1,0
David Brooks,FW,Bournemouth,13,1,1,2,1,0,0,1,0
Jacob Brown,MF,Luton Town,19,2,0,2,2,0,0,4,0
Josh Brownhill,MF,Burnley,33,4,2,6,4,0,0,4,1
Jacob Bruun Larsen,MF,Burnley,32,6,0,6,5,1,1,1,0
Hugo Bueno,MF,Wolves,22,0,0,0,0,0,0,1,0
Facundo Buonanotte,FW,Brighton,27,3,1,4,3,0,0,7,0
Mason Burstow,FW,Chelsea,2,0,0,0,0,0,0,0,0
Moisés Caicedo,MF,Chelsea,35,1,3,4,1,0,0,11,0
Tom Cairney,MF,Fulham,34,1,4,5,1,0,0,3,0
Dominic Calvert-Lewin,FW,Everton,32,7,2,9,5,2,2,2,0
Thomas Cannon,FW,Everton,1,0,0,0,0,0,0,0,0
Cesare Casadei,FW,Chelsea,11,0,0,0,0,0,0,0,0
Casemiro,MF,Manchester Utd,25,1,2,3,1,0,0,7,0
Jonny Castro,MF,Wolves,1,0,0,0,0,0,0,0,0
