Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Chelsea,,,,,
Kieran Agard,MF,Everton,,,,,
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Daniel Agger,DF,Liverpool,,,,,
Marc Albrighton,DF,Aston Villa,,,,,
Alex,DF,Chelsea,,,,,
Graham Alexander,DF,Burnley,,,,,
Anderson,MF,Manchester Utd,,,,,
Keith Andrews,MF,Blackburn,,,,,
Alberto Aquilani,MF,Liverpool,,,,,
Andrey Arshavin,MF,Arsenal,,,,,
Mikel Arteta,MF,Everton,,,,,
Benoît Assou-Ekotto,DF,Tottenham,,,,,
Will Atkinson,MF,Hull City,,,,,
Fábio Aurélio,DF,Liverpool,,,,,
Daniel Ayala,DF,Liverpool,,,,,
Ryan Babel,MF,Liverpool,,,,,
Leighton Baines,DF,Everton,,,,,
Chris Baird,DF,Fulham,,,,,
Gareth Bale,MF,Tottenham,,,,,
Michael Ballack,MF,Chelsea,,,,,
Phil Bardsley,DF,Sunderland,,,,,
Nick Barmby,MF,Hull City,,,,,
Gareth Barry,MF,Manchester City,,,,,
Chris Basham,DF,Bolton,,,,,
Angelos Basinas,MF,Portsmouth,,,,,
Sébastien Bassong,DF,Tottenham,,,,,
Yıldıray Baştürk,MF,Blackburn,,,,,
Jose Baxter,MF,Everton,,,,,
Valon Behrami,DF,West Ham,,,,,
Nadir Belhadj,DF,Portsmouth,,,,,
Juliano Belletti,DF,Chelsea,,,,,
Tal Ben Haim,DF,Portsmouth,,,,,
Yossi Benayoun,MF,Liverpool,,,,,
David Bentley,MF,Tottenham,,,,,
Christophe Berra,DF,Wolves,,,,,
Habib Beye,DF,Aston Villa,,,,,
André Bikey,DF,Burnley,,,,,
Diniyar Bilyaletdinov,MF,Everton,,,,,
Mame Biram Diouf,MF,Manchester Utd,,,,,
Robbie Blake,MF,Burnley,,,,,
Luís Boa Morte,MF,West Ham,,,,,
George Boateng,MF,Hull City,,,,,
Kevin-Prince Boateng,MF,Portsmouth,,,,,
Fabio Borini,MF,Chelsea,,,,,
José Bosingwa,DF,Chelsea,,,,,
Papa Bouba Diop,DF,Portsmouth,,,,,
Lee Bowyer,MF,Birmingham City,,,,,
Dedryck Boyata,DF,Manchester City,,,,,
Emmerson Boyce,DF,Wigan Athletic,,,,,
Titus Bramble,DF,Wigan Athletic,,,,,
Wayne Bridge,DF,Manchester City,,,,,
Michael Brown,MF,Portsmouth,,,,,
Michael Brown,MF,Wigan Athletic,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Jeffrey Bruma,DF,Chelsea,,,,,
Jimmy Bullard,MF,Hull City,,,,,
Gary Cahill,DF,Bolton,,,,,
Tim Cahill,MF,Everton,,,,,
Tom Cairney,MF,Hull City,,,,,
Gary Caldwell,DF,Wigan Athletic,,,,,
Steven Caldwell,DF,Burnley,,,,,
Sol Campbell,DF,Arsenal,,,,,
Lorik Cana,DF,Sunderland,,,,,
Clarke Carlisle,DF,Burnley,,,,,
Stephen Carr,DF,Birmingham City,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,Manchester Utd,,,,,
Lee Carsley,MF,Birmingham City,,,,,
Ricardo Carvalho,DF,Chelsea,,,,,
Segundo Castillo,DF,Wolves,,,,,
Lee Cattermole,MF,Sunderland,,,,,
Pascal Chimbonda,DF,Blackburn,,,,,
Lee Chung-yong,MF,Bolton,,,,,
Ciaran Clark,DF,Aston Villa,,,,,
Gaël Clichy,DF,Arsenal,,,,,
Tamir Cohen,MF,Bolton,,,,,
Jack Colback,DF,Sunderland,,,,,
Ashley Cole,DF,Chelsea,,,,,
Joe Cole,MF,Chelsea,,,,,
Séamus Coleman,DF,Everton,,,,,
Danny Collins,DF,Stoke City,,,,,
Danny Collins,DF,Sunderland,,,,,
James Collins,DF,West Ham,,,,,
James Collins,DF,Aston Villa,,,,,
Jack Collison,MF,West Ham,,,,,
Liam Cooper,DF,Hull City,,,,,
Jack Cork,DF,Burnley,,,,,
Vedran Ćorluka,DF,Tottenham,,,,,
Leon Cort,DF,Burnley,,,,,
Manuel da Costa,DF,West Ham,,,,,
Jody Craddock,DF,Wolves,,,,,
Carlos Cuéllar,DF,Aston Villa,,,,,
Greg Cunningham,DF,Manchester City,,,,,
Scott Dann,DF,Birmingham City,,,,,
Fabio Daprelà,DF,West Ham,,,,,
Stephen Darby,DF,Liverpool,,,,,
Curtis Davies,DF,Aston Villa,,,,,
Mark Davies,MF,Bolton,,,,,
Simon Davies,MF,Fulham,,,,,
Sean Davis,MF,Bolton,,,,,
Andy Dawson,DF,Hull City,,,,,
Michael Dawson,DF,Tottenham,,,,,
Ritchie De Laet,DF,Manchester Utd,,,,,
Deco,MF,Chelsea,,,,,
Philipp Degen,DF,Liverpool,,,,,
Rory Delap,MF,Stoke City,,,,,
Nathan Delfouneso,MF,Aston Villa,,,,,
Fabian Delph,DF,Aston Villa,,,,,
Clint Dempsey,MF,Fulham,,,,,
Denílson,MF,Arsenal,,,,,
Abou Diaby,MF,Arsenal,,,,,
Alessandro Diamanti,MF,West Ham,,,,,
Mohamed Diamé,MF,Wigan Athletic,,,,,
Salif Diao,MF,Stoke City,,,,,
Kagisho Dikgacoi,MF,Fulham,,,,,
Sylvain Distin,DF,Portsmouth,,,,,
Sylvain Distin,DF,Everton,,,,,
Johan Djourou,DF,Arsenal,,,,,
