Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Manuel Almunia,GK,Arsenal,1,0,4,4,100.0,1,0,0,1,100.0
Ian Bennett,GK,Sheffield Utd,2,5,14,9,64.3,0,0,2,0,0.0
Jason Brown,GK,Blackburn,1,0,1,1,100.0,1,0,0,0,
Roy Carroll,GK,West Ham,12,20,75,55,73.3,1,4,7,0,0.0
Scott Carson,GK,Charlton Ath,36,55,233,178,76.4,8,9,19,11,30.6
Petr Čech,GK,Chelsea,20,9,104,95,91.3,14,5,1,13,65.0
Carlo Cudicini,GK,Chelsea,7,3,32,29,90.6,4,2,1,5,71.4
Edwin van der Sar,GK,Manchester Utd,32,25,152,127,83.6,24,4,4,12,37.5
Jerzy Dudek,GK,Liverpool,2,2,8,6,75.0,1,0,1,1,50.0
Adam Federici,GK,Reading,2,2,5,3,60.0,0,1,0,0,
John Filan,GK,Wigan Athletic,10,14,51,37,72.5,2,4,4,3,30.0
Ben Foster,GK,Watford,29,45,211,166,78.7,4,10,14,6,20.7
Brad Friedel,GK,Blackburn,38,54,276,222,80.4,14,7,16,8,21.1
Paul Gerrard,GK,Sheffield Utd,2,4,13,9,69.2,0,1,1,0,0.0
Shay Given,GK,Newcastle Utd,22,27,131,104,79.4,9,5,7,3,13.6
Robert Green,GK,West Ham,26,39,164,125,76.2,11,1,14,9,34.6
Marcus Hahnemann,GK,Reading,38,45,218,173,79.4,16,6,15,13,34.2
Steve Harper,GK,Newcastle Utd,17,18,84,66,78.6,2,5,9,4,26.7
Joe Hart,GK,Manchester City,1,0,6,6,100.0,0,1,0,1,100.0
Henrique Hilário,GK,Chelsea,11,12,39,27,69.2,6,4,1,4,36.4
Tim Howard,GK,Everton,36,29,204,175,85.8,15,13,8,14,38.9
Andreas Isaksson,GK,Manchester City,14,16,61,45,73.8,3,3,7,4,33.3
Jussi Jääskeläinen,GK,Bolton,38,52,216,164,75.9,16,8,14,12,31.6
Phil Jagielka,DF,MF,Sheffield Utd,1,,1,1,,,,,,
David James,GK,Portsmouth,38,42,214,172,80.4,13,12,13,12,31.6
Brad Jones,GK,Middlesbrough,2,1,10,9,90.0,0,2,0,1,50.0
Paddy Kenny,GK,Sheffield Utd,34,46,208,162,77.9,10,7,17,9,26.5
Gábor Király,GK,Aston Villa,5,8,26,18,69.2,0,1,4,1,20.0
Chris Kirkland,GK,Wigan Athletic,26,43,172,129,75.0,7,3,15,7,26.9
Tomasz Kuszczak,GK,Manchester Utd,6,2,24,22,91.7,4,1,1,4,66.7
Jan Laštůvka,GK,Fulham,7,15,53,38,71.7,0,2,4,0,0.0
Richard Lee,GK,Watford,10,14,61,47,77.0,1,3,6,3,33.3
Jens Lehmann,GK,Arsenal,36,35,171,136,79.5,18,10,8,10,27.8
Thomas Myhre,GK,Charlton Ath,1,3,8,5,62.5,0,0,1,0,0.0
Antti Niemi,GK,Fulham,32,45,184,139,75.5,8,13,11,7,21.9
Daniele Padelli,GK,Liverpool,1,2,4,2,50.0,0,1,0,0,0.0
Mike Pollitt,GK,Wigan Athletic,3,3,13,10,76.9,1,1,1,0,0.0
Mart Poom,GK,Arsenal,1,0,2,2,100.0,0,1,0,1,100.0
Darren Randolph,GK,Charlton Ath,1,2,6,4,66.7,0,1,0,0,0.0
Pepe Reina,GK,Liverpool,35,23,161,138,85.7,19,7,9,19,54.3
Paul Robinson,GK,Tottenham,38,54,196,142,72.4,17,9,12,6,15.8
Mark Schwarzer,GK,Middlesbrough,36,48,224,176,78.6,12,8,16,8,22.2
Pavel Srníček,GK,Newcastle Utd,2,2,9,7,77.8,0,0,1,0,0.0
Thomas Sørensen,GK,Aston Villa,29,24,152,128,84.2,11,13,5,12,41.4
Stuart Taylor,GK,Aston Villa,6,9,29,20,69.0,0,3,1,0,0.0
Iain Turner,GK,Everton,1,4,9,5,55.6,0,0,1,0,0.0
Nicky Weaver,GK,Manchester City,25,28,132,104,78.8,8,5,11,9,36.0
Richard Wright,GK,Everton,1,3,8,5,62.5,0,0,1,0,0.0
