Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Yakubu Aiyegbeni,FW,Portsmouth,30,13,3,16,9,4,4,2,0
Jérémie Aliadière,FW,Arsenal,4,0,0,0,0,0,0,0,0
Xabi Alonso,MF,Liverpool,24,2,4,6,2,0,0,1,0
Darren Ambrose,FW,Newcastle Utd,12,3,0,3,3,0,0,1,0
Shola Ameobi,FW,Newcastle Utd,31,2,1,3,2,0,0,3,1
Darren Anderton,MF,Birmingham City,20,3,1,4,3,0,0,1,0
Wayne Andrews,FW,Crystal Palace,9,0,0,0,0,0,0,1,0
Nicolas Anelka,FW,Manchester City,19,7,2,9,5,2,2,0,0
José Antonio Reyes,MF,Arsenal,30,9,10,19,9,0,0,3,0
John Arne Riise,MF,Liverpool,37,6,7,13,6,0,0,2,0
Mikel Arteta,MF,Everton,12,1,3,4,1,0,0,5,0
Dean Ashton,FW,Norwich City,16,7,3,10,6,1,1,0,0
Celestine Babayaro,MF,Newcastle Utd,7,0,1,1,0,0,0,1,0
Celestine Babayaro,MF,Chelsea,4,0,1,1,0,0,0,1,0
Milan Baroš,FW,Liverpool,26,9,1,10,7,2,3,4,1
Gareth Barry,MF,Aston Villa,34,7,1,8,4,3,3,2,0
Shaun Bartlett,FW,Charlton Ath,25,6,3,9,6,0,0,0,2
Joey Barton,MF,Manchester City,31,1,5,6,1,0,0,9,0
James Beattie,FW,Southampton,11,3,1,4,2,1,1,0,0
James Beattie,FW,Everton,11,1,0,1,1,0,1,1,1
Craig Bellamy,FW,Newcastle Utd,21,7,4,11,7,0,0,2,0
David Bellion,FW,Manchester Utd,10,2,0,2,2,0,0,0,0
Marcus Bent,FW,Everton,37,6,4,10,6,0,0,2,0
David Bentley,MF,Norwich City,26,2,3,5,2,0,0,6,0
Patrik Berger,MF,Portsmouth,32,3,5,8,3,0,0,0,0
Dennis Bergkamp,FW,Arsenal,29,8,12,20,8,0,0,1,0
Eyal Berkovic,MF,Portsmouth,11,1,4,5,1,0,0,0,0
Mathieu Berson,MF,Aston Villa,11,0,0,0,0,0,0,2,0
Leon Best,FW,Southampton,2,0,0,0,0,0,,0,0
Igor Bišćan,MF,Liverpool,19,2,0,2,2,0,0,0,0
Dexter Blackstock,FW,Southampton,9,1,0,1,1,0,0,1,0
Robbie Blake,FW,Birmingham City,11,2,0,2,1,1,1,0,0
Luís Boa Morte,FW,Fulham,31,8,9,17,8,0,0,7,0
George Boateng,MF,Middlesbrough,25,3,2,5,3,0,0,8,0
Paul Bosvelt,MF,Manchester City,28,2,0,2,2,0,0,6,0
Jay Bothroyd,FW,Blackburn,11,1,0,1,1,0,0,0,1
Papa Bouba Diop,MF,Fulham,29,5,0,5,5,0,0,8,2
Lee Bowyer,MF,Newcastle Utd,27,3,3,6,3,0,0,7,2
Jim Brennan,MF,Norwich City,10,0,0,0,0,0,0,0,0
Michael Brown,MF,Tottenham,24,1,3,4,1,0,0,8,0
Nicky Butt,MF,Newcastle Utd,18,1,1,2,1,0,0,3,0
Danny Butterfield,MF,Crystal Palace,7,0,0,0,0,0,0,2,0
Tim Cahill,FW,Everton,33,11,5,16,11,0,0,11,1
Henri Camara,FW,Southampton,13,4,0,4,4,0,0,2,0
Kevin Campbell,FW,West Brom,16,3,1,4,3,0,0,0,0
Kevin Campbell,FW,Everton,6,0,0,0,0,0,0,0,0
Sol Campbell,FW,Arsenal,16,1,0,1,1,0,0,1,0
Iván Campo,MF,Bolton,27,0,0,0,0,0,0,4,0
Vincent Candela,MF,Bolton,10,0,0,0,0,0,0,3,0
Jamie Carragher,MF,Liverpool,38,0,2,2,0,0,0,4,0
Michael Carrick,MF,Tottenham,29,0,4,4,0,0,0,1,0
Lee Carsley,MF,Everton,36,4,2,6,4,0,0,7,0
Darren Carter,MF,Birmingham City,15,2,1,3,2,0,0,1,0
